,0,1,2,3,4,5,6
0,Inception,(2010),13+,148 min,"Action, Adventure, Sci-Fi",8.8,"
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
1,The Matrix,(1999),18+,136 min,"Action, Sci-Fi",8.7,"
When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
2,The Empire Strikes Back,(1980),7+,124 min,"Action, Adventure, Fantasy",8.7,"
After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
3,Interstellar,(2014),13A,169 min,"Adventure, Drama, Sci-Fi",8.6,"
A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
4,Star Wars,(1977),G,121 min,"Action, Adventure, Fantasy",8.6,"
Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
5,Terminator 2: Judgment Day,(1991),15+,137 min,"Action, Sci-Fi",8.6,"
A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg."
6,Alien,(1979),18+,117 min,"Horror, Sci-Fi",8.5,"
The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission."
7,Back to the Future,(1985),13+,116 min,"Adventure, Comedy, Sci-Fi",8.5,"
Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
8,The Prestige,(2006),16+,130 min,"Drama, Mystery, Sci-Fi",8.5,"
After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
9,Avengers: Endgame,(2019),15A,181 min,"Action, Adventure, Drama",8.4,"
After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
10,Spider-Man: Into the Spider-Verse,(2018),7+,117 min,"Animation, Action, Adventure",8.4,"
Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
11,Aliens,(1986),18+,137 min,"Action, Adventure, Sci-Fi",8.4,"
Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
12,Avengers: Infinity War,(2018),13+,149 min,"Action, Adventure, Sci-Fi",8.4,"
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
13,WALL·E,(2008),G,98 min,"Animation, Adventure, Family",8.4,"
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
14,A Clockwork Orange,(1971),18+,136 min,"Crime, Sci-Fi",8.3,"
In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
15,2001: A Space Odyssey,(1968),G,149 min,"Adventure, Sci-Fi",8.3,"
After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
16,Eternal Sunshine of the Spotless Mind,(2004),16+,108 min,"Drama, Romance, Sci-Fi",8.3,"
When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
17,Star Wars: Episode VI - Return of the Jedi,(1983),7+,131 min,"Action, Adventure, Fantasy",8.3,"
After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
18,Metropolis,(1927),---,153 min,"Drama, Sci-Fi",8.3,"
In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
19,Spider-Man: No Way Home,(2021),10+,148 min,"Action, Adventure, Fantasy",8.2,"
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
20,Jurassic Park,(1993),16+,127 min,"Action, Adventure, Sci-Fi",8.2,"
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose."
21,The Thing,(1982),18+,109 min,"Horror, Mystery, Sci-Fi",8.2,"
A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims."
22,V for Vendetta,(2005),15+,132 min,"Action, Drama, Sci-Fi",8.2,"
In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
23,Mad Max: Fury Road,(2015),15+,120 min,"Action, Adventure, Sci-Fi",8.1,"
In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max."
24,Blade Runner,(1982),18+,117 min,"Action, Drama, Sci-Fi",8.1,"
A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator."
25,The Terminator,(1984),15+,107 min,"Action, Sci-Fi",8.1,"
A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
26,Logan,(2017),15+,137 min,"Action, Drama, Sci-Fi",8.1,"
In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
27,Stalker,(1979),13A,162 min,"Drama, Sci-Fi",8.1,"
A guide leads two men through an area known as the Zone to find a room that grants wishes."
28,The Iron Giant,(1999),G,86 min,"Animation, Action, Adventure",8.1,"
A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy."
29,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",(1997),18+,87 min,"Animation, Action, Drama",8.1,"
Concurrent theatrical ending of the TV series Shin seiki evangerion (1995)."
30,PK,(2014),13+,153 min,"Comedy, Drama, Sci-Fi",8.1,"
An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people."
31,Dune: Part One,(2021),13+,155 min,"Action, Adventure, Drama",8.0,"
A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future."
32,Blade Runner 2049,(2017),15+,164 min,"Action, Drama, Mystery",8.0,"
Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
33,Guardians of the Galaxy,(2014),13+,121 min,"Action, Adventure, Comedy",8.0,"
A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe."
