,0,1,2,3,4,5,6
0,The Lord of the Rings: The Return of the King,(2003),16+,201 min,"Action, Adventure, Drama",9.0,"
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
1,The Lord of the Rings: The Fellowship of the Ring,(2001),13+,178 min,"Action, Adventure, Drama",8.8,"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
2,The Lord of the Rings: The Two Towers,(2002),16+,179 min,"Action, Adventure, Drama",8.8,"
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
3,The Empire Strikes Back,(1980),7+,124 min,"Action, Adventure, Fantasy",8.7,"
After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
4,Star Wars,(1977),G,121 min,"Action, Adventure, Fantasy",8.6,"
Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
5,The Green Mile,(1999),18+,189 min,"Crime, Drama, Fantasy",8.6,"
The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
6,Sen to Chihiro no kamikakushi,(2001),G,125 min,"Animation, Adventure, Family",8.6,"
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
7,It's a Wonderful Life,(1946),7+,130 min,"Drama, Family, Fantasy",8.6,"
An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed."
8,Kimi no na wa.,(2016),7+,106 min,"Animation, Drama, Fantasy",8.4,"
Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
9,Spider-Man: Into the Spider-Verse,(2018),7+,117 min,"Animation, Action, Adventure",8.4,"
Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
10,Coco,(I) (2017),7+,105 min,"Animation, Adventure, Comedy",8.4,"
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
11,Star Wars: Episode VI - Return of the Jedi,(1983),7+,131 min,"Action, Adventure, Fantasy",8.3,"
After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
12,Toy Story,(1995),G,81 min,"Animation, Adventure, Comedy",8.3,"
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom."
13,Mononoke-hime,(1997),13+,134 min,"Animation, Action, Adventure",8.3,"
On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
14,Toy Story 3,(2010),G,103 min,"Animation, Adventure, Comedy",8.3,"
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
15,Spider-Man: No Way Home,(2021),10+,148 min,"Action, Adventure, Fantasy",8.2,"
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
16,Hauru no ugoku shiro,(2004),7+,119 min,"Animation, Adventure, Family",8.2,"
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
17,Pan's Labyrinth,(2006),13+,118 min,"Drama, Fantasy, War",8.2,"
In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
18,Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),16+,117 min,"Animation, Action, Adventure",8.2,"
After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
19,Monty Python and the Holy Grail,(1975),16+,91 min,"Adventure, Comedy, Fantasy",8.2,"
King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
20,Tumbbad,(2018),---,104 min,"Drama, Fantasy, Horror",8.2,"
A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born."
21,Klaus,(2019),7+,96 min,"Animation, Adventure, Comedy",8.2,"
A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
22,Pirates of the Caribbean: The Curse of the Black Pearl,(2003),13+,143 min,"Action, Adventure, Fantasy",8.1,"
Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
23,Harry Potter and the Deathly Hallows: Part 2,(2011),16+,130 min,"Adventure, Family, Fantasy",8.1,"
Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
24,Ratatouille,(2007),G,111 min,"Animation, Adventure, Comedy",8.1,"
A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant."
25,How to Train Your Dragon,(2010),7+,98 min,"Animation, Action, Adventure",8.1,"
A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
26,The Wizard of Oz,(1939),PG,102 min,"Adventure, Family, Fantasy",8.1,"
Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
27,Inside Out,(I) (2015),G,95 min,"Animation, Adventure, Comedy",8.1,"
After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
28,"Monsters, Inc.",(2001),7+,92 min,"Animation, Adventure, Comedy",8.1,"
In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
29,Tonari no Totoro,(1988),G,86 min,"Animation, Comedy, Family",8.1,"
When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
30,Det sjunde inseglet,(1957),---,96 min,"Drama, Fantasy",8.1,"
A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
31,Underground,(1995),---,170 min,"Comedy, Drama, Fantasy",8.1,"
A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate."
32,Ôkami kodomo no Ame to Yuki,(2012),PG,117 min,"Animation, Drama, Family",8.1,"
After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
33,Dom za vesanje,(1988),---,142 min,"Comedy, Crime, Drama",8.1,"
In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
34,OMG: Oh My God!,(2012),---,125 min,"Comedy, Drama, Fantasy",8.1,"
A shopkeeper takes God to court when his shop is destroyed by an earthquake."
35,The Princess Bride,(1987),---,98 min,"Adventure, Comedy, Family",8.0,"
A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
36,Zack Snyder's Justice League,(2021),16+,242 min,"Action, Adventure, Fantasy",8.0,"
Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
37,Aladdin,(1992),G,90 min,"Animation, Adventure, Comedy",8.0,"
A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true."
38,Groundhog Day,(1993),7+,101 min,"Comedy, Drama, Fantasy",8.0,"
A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right."
39,Beauty and the Beast,(1991),G,84 min,"Animation, Family, Fantasy",8.0,"
A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love."
40,Big Fish,(2003),G,125 min,"Adventure, Drama, Fantasy",8.0,"
A frustrated son tries to determine the fact from fiction in his dying father's life."
41,Soul,(2020),7+,100 min,"Animation, Adventure, Comedy",8.0,"
After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
42,Akira,(1988),R,124 min,"Animation, Action, Drama",8.0,"
A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
43,Tenkû no shiro Rapyuta,(1986),---,125 min,"Animation, Adventure, Family",8.0,"
A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle."
44,Pink Floyd: The Wall,(1982),15+,95 min,"Drama, Fantasy, Music",8.0,"
A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone."
45,Der Himmel über Berlin,(1987),---,128 min,"Drama, Fantasy, Romance",8.0,"
An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal."
46,WolfWalkers,(2020),PG,103 min,"Animation, Action, Adventure",8.0,"
A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night."
47,Song of the Sea,(2014),PG,93 min,"Animation, Adventure, Drama",8.0,"
Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world."
48,Kaguya-hime no monogatari,(2013),PG,137 min,"Animation, Drama, Family",8.0,"
Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime."
49,El ángel exterminador,(1962),---,95 min,"Drama, Fantasy",8.0,"
The guests at an upper-class dinner party find themselves unable to leave."
