,0,1,2,3,4,5,6
0,Sen to Chihiro no kamikakushi,(2001),G,125 min,"Animation, Adventure, Family",8.6,"
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
1,It's a Wonderful Life,(1946),7+,130 min,"Drama, Family, Fantasy",8.6,"
An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed."
2,The Lion King,(1994),G,88 min,"Animation, Adventure, Drama",8.5,"
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
3,Spider-Man: Into the Spider-Verse,(2018),7+,117 min,"Animation, Action, Adventure",8.4,"
Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
4,Coco,(I) (2017),7+,105 min,"Animation, Adventure, Comedy",8.4,"
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
5,WALL·E,(2008),G,98 min,"Animation, Adventure, Family",8.4,"
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
6,Toy Story,(1995),G,81 min,"Animation, Adventure, Comedy",8.3,"
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom."
7,Up,(2009),G,96 min,"Animation, Adventure, Comedy",8.3,"
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
8,Toy Story 3,(2010),G,103 min,"Animation, Adventure, Comedy",8.3,"
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
9,Taare Zameen Par,(2007),13+,165 min,"Drama, Family",8.3,"
An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
10,The Kid,(1921),7+,68 min,"Comedy, Drama, Family",8.3,"
The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
11,Hauru no ugoku shiro,(2004),7+,119 min,"Animation, Adventure, Family",8.2,"
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
12,Finding Nemo,(2003),7A,100 min,"Animation, Adventure, Comedy",8.2,"
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
13,Klaus,(2019),7+,96 min,"Animation, Adventure, Comedy",8.2,"
A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
14,Bacheha-Ye aseman,(1997),PG,89 min,"Drama, Family, Sport",8.2,"
After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
15,Babam ve Oglum,(2005),G,108 min,"Drama, Family",8.2,"
The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980."
16,Harry Potter and the Deathly Hallows: Part 2,(2011),16+,130 min,"Adventure, Family, Fantasy",8.1,"
Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
17,Ratatouille,(2007),G,111 min,"Animation, Adventure, Comedy",8.1,"
A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant."
18,How to Train Your Dragon,(2010),7+,98 min,"Animation, Action, Adventure",8.1,"
A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
19,The Wizard of Oz,(1939),PG,102 min,"Adventure, Family, Fantasy",8.1,"
Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
20,Inside Out,(I) (2015),G,95 min,"Animation, Adventure, Comedy",8.1,"
After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
21,The Sound of Music,(1965),18+,172 min,"Biography, Drama, Family",8.1,"
A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer."
22,"Monsters, Inc.",(2001),7+,92 min,"Animation, Adventure, Comedy",8.1,"
In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
23,Tonari no Totoro,(1988),G,86 min,"Animation, Comedy, Family",8.1,"
When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
24,Hachi: A Dog's Tale,(2009),---,93 min,"Biography, Drama, Family",8.1,"
A college professor bonds with an abandoned dog he takes into his home."
25,The Iron Giant,(1999),G,86 min,"Animation, Action, Adventure",8.1,"
A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy."
