,0,1,2,3,4,5,6
0,The Shawshank Redemption,(1994),13+,142 min,Drama,9.3,"
Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,The Godfather,(1972),18+,175 min,"Crime, Drama",9.2,"
The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son."
2,Hababam Sinifi,(1975),18+,87 min,"Comedy, Drama",9.2,"
Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows."
3,The Dark Knight,(2008),16+,152 min,"Action, Crime, Drama",9.0,"
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
4,The Lord of the Rings: The Return of the King,(2003),16+,201 min,"Action, Adventure, Drama",9.0,"
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
5,Schindler's List,(1993),18+,195 min,"Biography, Drama, History",9.0,"
In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
6,12 Angry Men,(1957),15+,96 min,"Crime, Drama",9.0,"
The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict."
7,The Godfather Part II,(1974),18+,202 min,"Crime, Drama",9.0,"
The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
8,Pulp Fiction,(1994),18+,154 min,"Crime, Drama",8.9,"
The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,The Lord of the Rings: The Fellowship of the Ring,(2001),13+,178 min,"Action, Adventure, Drama",8.8,"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
10,Fight Club,(1999),18+,139 min,Drama,8.8,"
An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more."
11,Forrest Gump,(1994),7+,142 min,"Drama, Romance",8.8,"
The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
12,The Lord of the Rings: The Two Towers,(2002),16+,179 min,"Action, Adventure, Drama",8.8,"
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
13,Jai Bhim,(2021),16+,164 min,"Crime, Drama, Mystery",8.8,"
When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
14,777 Charlie,(2022),---,164 min,"Adventure, Comedy, Drama",8.8,"
Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it."
15,Rocketry: The Nambi Effect,(2022),13+,157 min,"Biography, Drama",8.8,"
Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
16,GoodFellas,(1990),18+,145 min,"Biography, Crime, Drama",8.7,"
The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
17,One Flew Over the Cuckoo's Nest,(1975),15+,133 min,Drama,8.7,"
In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
18,The Kashmir Files,(2022),---,170 min,Drama,8.7,"
A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth."
19,Soorarai Pottru,(2020),---,153 min,"Action, Drama",8.7,"
Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
20,Interstellar,(2014),13A,169 min,"Adventure, Drama, Sci-Fi",8.6,"
A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
21,Se7en,(1995),13+,127 min,"Crime, Drama, Mystery",8.6,"
Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
