,0,1,2,3,4,5,6
0,Sen to Chihiro no kamikakushi,(2001),G,125 min,"Animation, Adventure, Family",8.6,"
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
1,The Lion King,(1994),G,88 min,"Animation, Adventure, Drama",8.5,"
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
2,Hotaru no haka,(1988),---,89 min,"Animation, Drama, War",8.5,"
A young boy and his little sister struggle to survive in Japan during World War II."
3,Kimi no na wa.,(2016),7+,106 min,"Animation, Drama, Fantasy",8.4,"
Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
4,Spider-Man: Into the Spider-Verse,(2018),7+,117 min,"Animation, Action, Adventure",8.4,"
Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
5,Coco,(I) (2017),7+,105 min,"Animation, Adventure, Comedy",8.4,"
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
6,WALL·E,(2008),G,98 min,"Animation, Adventure, Family",8.4,"
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
7,Toy Story,(1995),G,81 min,"Animation, Adventure, Comedy",8.3,"
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom."
8,Up,(2009),G,96 min,"Animation, Adventure, Comedy",8.3,"
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
9,Mononoke-hime,(1997),13+,134 min,"Animation, Action, Adventure",8.3,"
On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
10,Toy Story 3,(2010),G,103 min,"Animation, Adventure, Comedy",8.3,"
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
11,Hauru no ugoku shiro,(2004),7+,119 min,"Animation, Adventure, Family",8.2,"
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
12,Finding Nemo,(2003),7A,100 min,"Animation, Adventure, Comedy",8.2,"
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
