,0,1,2,3,4,5,6
0,Hababam Sinifi,(1975),18+,87 min,"Comedy, Drama",9.2,"
Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows."
1,777 Charlie,(2022),---,164 min,"Adventure, Comedy, Drama",8.8,"
Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it."
2,La vita è bella,(1997),13+,116 min,"Comedy, Drama, Romance",8.6,"
When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
3,Back to the Future,(1985),13+,116 min,"Adventure, Comedy, Sci-Fi",8.5,"
Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
4,The Intouchables,(2011),18+,112 min,"Biography, Comedy, Drama",8.5,"
After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
5,Modern Times,(1936),---,87 min,"Comedy, Drama, Romance",8.5,"
The Tramp struggles to live in modern industrial society with the help of a young homeless woman."
6,City Lights,(1931),G,87 min,"Comedy, Drama, Romance",8.5,"
With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
7,Spider-Man: Into the Spider-Verse,(2018),7+,117 min,"Animation, Action, Adventure",8.4,"
Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
8,Coco,(I) (2017),7+,105 min,"Animation, Adventure, Comedy",8.4,"
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
9,3 Idiots,(2009),PG-13,170 min,"Comedy, Drama",8.4,"
Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),18+,95 min,"Comedy, War",8.4,"
An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
11,The Great Dictator,(1940),---,125 min,"Comedy, Drama, War",8.4,"
Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime."
12,Dil Bechara,(2020),---,101 min,"Comedy, Drama, Romance",8.4,"
The emotional journey of two hopelessly-in-love youngsters; a young girl, Kizie, who is suffering from cancer; and Manny, a boy Kizie meets at a support group."
13,Toy Story,(1995),G,81 min,"Animation, Adventure, Comedy",8.3,"
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom."
14,Up,(2009),G,96 min,"Animation, Adventure, Comedy",8.3,"
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
15,Le fabuleux destin d'Amélie Poulain,(2001),13+,122 min,"Comedy, Romance",8.3,"
Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
16,Toy Story 3,(2010),G,103 min,"Animation, Adventure, Comedy",8.3,"
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
17,The Sting,(1973),13+,129 min,"Comedy, Crime, Drama",8.3,"
Two grifters team up to pull off the ultimate con."
18,Singin' in the Rain,(1952),G,103 min,"Comedy, Musical, Romance",8.3,"
A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood."
19,The Apartment,(1960),---,125 min,"Comedy, Drama, Romance",8.3,"
A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
20,The Kid,(1921),7+,68 min,"Comedy, Drama, Family",8.3,"
The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
21,Chhichhore,(2019),---,143 min,"Comedy, Drama, Romance",8.3,"
A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
22,The Wolf of Wall Street,(2013),18+,180 min,"Biography, Comedy, Crime",8.2,"
Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
23,Green Book,(2018),7+,130 min,"Biography, Comedy, Drama",8.2,"
A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South."
24,The Truman Show,(1998),7+,103 min,"Comedy, Drama",8.2,"
An insurance salesman discovers his whole life is actually a reality TV show."
25,Snatch,(2000),18+,104 min,"Comedy, Crime",8.2,"
Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
26,Finding Nemo,(2003),7A,100 min,"Animation, Adventure, Comedy",8.2,"
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
27,Monty Python and the Holy Grail,(1975),16+,91 min,"Adventure, Comedy, Fantasy",8.2,"
King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
28,Some Like It Hot,(1959),---,121 min,"Comedy, Music, Romance",8.2,"
After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
29,Klaus,(2019),7+,96 min,"Animation, Adventure, Comedy",8.2,"
A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
30,Zindagi Na Milegi Dobara,(2011),---,155 min,"Comedy, Drama, Musical",8.2,"
Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged."
31,To Be or Not to Be,(1942),---,99 min,"Comedy, Romance, War",8.2,"
During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
32,Gangs of Wasseypur,(2012),---,321 min,"Action, Comedy, Crime",8.2,"
A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
33,Sherlock Jr.,(1924),---,45 min,"Action, Comedy, Romance",8.2,"
A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
34,The Big Lebowski,(1998),18+,117 min,"Comedy, Crime",8.1,"
Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife."
35,The Grand Budapest Hotel,(2014),13+,99 min,"Adventure, Comedy, Crime",8.1,"
A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
36,Ratatouille,(2007),G,111 min,"Animation, Adventure, Comedy",8.1,"
A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant."
37,How to Train Your Dragon,(2010),7+,98 min,"Animation, Action, Adventure",8.1,"
A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
